0	x o1 ŋ͡m
tèm	t ɛ2 m
têm	t e1 m
tẻm	t ɛ4 m
ten	t ɛ1 n
tén	t ɛ5 n
tèn	t ɛ2 n
tên	t e1 n
tẽn	t ɛ3 n
teng	t ɛ1 ŋ
tênh	t e1 ɲ
tềnh	t e2 ɲ
tễnh	t e3 ɲ
tểnh	t e4 ɲ
teo	t eo1
tèo	t eo2
tẻo	t eo4
tẹo	t eo6
tép	t ɛ5 p
tẹp	t ɛ6 p
tệp	t e6 p
test	t ɛ5 s t
tét	t ɛ5 t
têt	t e1 t
tết	t e5 t
tẹt	t ɛ6 t
têu	t ɛu1
tếu	t ɛu5
tha	tʰ a1
thá	tʰ a5
thà	tʰ a2
thả	tʰ a4
thác	tʰ a5 k
thắc	tʰ ă5 k
thạc	tʰ a6 k
thach	tʰ a1 tʃ
thách	tʰ a5 tʃ
thạch	tʰ a6 tʃ
thai	tʰ a1 j
thái	tʰ a5 j
thài	tʰ a2 j
thãi	tʰ a3 j
thải	tʰ a4 j
tham	tʰ a1 m
thám	tʰ a5 m
thàm	tʰ a2 m
thâm	tʰ ɤ̆1 m
thăm	tʰ ă1 m
thấm	tʰ ɤ̆5 m
thầm	tʰ ɤ̆2 m
thắm	tʰ ă5 m
thẫm	tʰ ɤ̆3 m
thảm	tʰ a4 m
thẩm	tʰ ɤ̆4 m
thẳm	tʰ ă4 m
thậm	tʰ ɤ̆6 m
than	tʰ a1 n
thán	tʰ a5 n
thân	tʰ ɤ̆1 n
thăn	tʰ ă1 n
thần	tʰ ɤ̆2 n
thắn	tʰ ă5 n
thằn	tʰ ă2 n
thẫn	tʰ ɤ̆3 n
thản	tʰ a4 n
thẩn	tʰ ɤ̆4 n
thận	tʰ ɤ̆6 n
thang	tʰ a1 ŋ
tháng	tʰ a5 ŋ
thàng	tʰ a2 ŋ
thăng	tʰ ă1 ŋ
thắng	tʰ ă5 ŋ
thằng	tʰ ă2 ŋ
thảng	tʰ a4 ŋ
thẳng	tʰ ă4 ŋ
thặng	tʰ ă6 ŋ
thanh	tʰ ɛ1 ɲ
thánh	tʰ ɛ5 ɲ
thành	tʰ ɛ2 ɲ
thảnh	tʰ ɛ4 ɲ
thạnh	tʰ ɛ6 ɲ
thao	tʰ a1 w
tháo	tʰ a5 w
thào	tʰ a2 w
thảo	tʰ a4 w
thạo	tʰ a6 w
tháp	tʰ a5 p
thấp	tʰ ɤ̆5 p
thắp	tʰ ă5 p
thạp	tʰ a6 p
thập	tʰ ɤ̆6 p
thất	tʰ ɤ̆5 t
thắt	tʰ ă5 t
thật	tʰ ɤ̆6 t
thau	tʰ ă1 w
tháu	tʰ ă5 w
thâu	tʰ ɤ̆1 w
thấu	tʰ ɤ̆5 w
thầu	tʰ ɤ̆2 w
thẩu	tʰ ɤ̆4 w
thay	tʰ ă1 j
tháy	tʰ ă5 j
thày	tʰ ɤ̆2 j
thây	tʰ ɤ̆1 j
thấy	tʰ ɤ̆5 j
thầy	tʰ ɤ̆2 j
thảy	tʰ ă4 j
the	tʰ ɛ1
thé	tʰ ɛ5
thè	tʰ ɛ2
thê	tʰ e1
thẽ	tʰ ɛ3
thế	tʰ e5
thề	tʰ e2
thẻ	tʰ ɛ4
thể	tʰ e4
thệ	tʰ e6
thếch	tʰ e5 tʃ
thèm	tʰ ɛ2 m
thêm	tʰ e1 m
thềm	tʰ e2 m
then	tʰ ɛ1 n
thèn	tʰ ɛ2 n
thẹn	tʰ ɛ6 n
thện	tʰ e6 n
thênh	tʰ e1 ɲ
theo	tʰ eo1
thèo	tʰ eo2
thẻo	tʰ eo4
thẹo	tʰ eo6
thép	tʰ ɛ5 p
thếp	tʰ e5 p
thẹp	tʰ ɛ6 p
thét	tʰ ɛ5 t
thết	tʰ e5 t
thêu	tʰ ɛu1
thều	tʰ ɛu2
thểu	tʰ ɛu4
thi	tʰ i1
thí	tʰ i5
thì	tʰ i2
thỉ	tʰ i4
thị	tʰ i6
thia	tʰ iə1
thía	tʰ iə5
thìa	tʰ iə2
thích	tʰ i5 tʃ
thịch	tʰ i6 tʃ
thiếc	tʰ iə5 k
thiêm	tʰ iə1 m
thiềm	tʰ iə2 m
thiểm	tʰ iə4 m
thiên	tʰ iə1 n
thiến	tʰ iə5 n
thiền	tʰ iə2 n
thiển	tʰ iə4 n
thiện	tʰ iə6 n
thiêng	tʰ iə1 ŋ
thiềng	tʰ iə2 ŋ
thiếp	tʰ iə5 p
thiệp	tʰ iə6 p
thiết	tʰ iə5 t
thiệt	tʰ iə6 t
thiêu	tʰ iə1 w
thiếu	tʰ iə5 w
thiều	tʰ iə2 w
thiểu	tʰ iə4 w
thiệu	tʰ iə6 w
thím	tʰ i5 m
thin	tʰ i1 n
thín	tʰ i5 n
thìn	tʰ i2 n
thinh	tʰ i1 ɲ
thính	tʰ i5 ɲ
thình	tʰ i2 ɲ
thỉnh	tʰ i4 ɲ
thịnh	tʰ i6 ɲ
thíp	tʰ i5 p
thít	tʰ i5 t
thịt	tʰ i6 t
thiu	tʰ i1 w
thìu	tʰ i2 w
thỉu	tʰ i4 w
thịu	tʰ i6 w
tho	tʰ ɔ1
thó	tʰ ɔ5
thò	tʰ ɔ2
thô	tʰ o1
thố	tʰ o5
thồ	tʰ o2
thỏ	tʰ ɔ4
thơ	tʰ ɤ1
thổ	tʰ o4
thọ	tʰ ɔ6
thớ	tʰ ɤ5
thờ	tʰ ɤ2
thở	tʰ ɤ4
thợ	tʰ ɤ6
thoa	tʰw ʷa1
thoả	tʰw ʷa4
thóa	tʰw ʷa5
thòa	tʰw ʷa2
thõa	tʰw ʷa3
thỏa	tʰw ʷa4
thoai	tʰw a1 j
thoái	tʰw a5 j
thoải	tʰw a4 j
thoại	tʰw a6 j
thoán	tʰw ʷa5 n
thoàn	tʰw ʷa2 n
thoăn	tʰw ʷă1 n
thoang	tʰw ʷa1 ŋ
thoáng	tʰw ʷa5 ŋ
thoắng	tʰw ʷă5 ŋ
thoảng	tʰw ʷa4 ŋ
thoát	tʰw ʷa5 t
thoắt	tʰw ʷă5 t
thoạt	tʰw ʷa6 t
thóc	tʰ ɔ5 k͡p
thốc	tʰ o5 k͡p
thọc	tʰ ɔ6 k͡p
thộc	tʰ o6 k͡p
thoi	tʰ ɔ1 j
thói	tʰ ɔ5 j
thòi	tʰ ɔ2 j
thôi	tʰ o1 j
thối	tʰ o5 j
thồi	tʰ o2 j
thỏi	tʰ ɔ4 j
thơi	tʰ ɤ1 j
thổi	tʰ o4 j
thới	tʰ ɤ5 j
thời	tʰ ɤ2 j
thom	tʰ ɔ1 m
thòm	tʰ ɔ2 m
thồm	tʰ o2 m
thỏm	tʰ ɔ4 m
thơm	tʰ ɤ1 m
thon	tʰ ɔ1 n
thôn	tʰ o1 n
thốn	tʰ o5 n
thồn	tʰ o2 n
thơn	tʰ ɤ1 n
thổn	tʰ o4 n
thờn	tʰ ɤ2 n
thộn	tʰ o6 n
thong	tʰ ɔ1 ŋ͡m
thòng	tʰ ɔ2 ŋ͡m
thông	tʰ o1 ŋ͡m
thõng	tʰ ɔ3 ŋ͡m
thống	tʰ o5 ŋ͡m
thóp	tʰ ɔ5 p
thộp	tʰ o6 p
thót	tʰ ɔ5 t
thốt	tʰ o5 t
thọt	tʰ ɔ6 t
thớt	tʰ ɤ5 t
thợt	tʰ ɤ6 t
thu	tʰ u1
thú	tʰ u5
thù	tʰ u2
thủ	tʰ u4
thư	tʰ ɯ1
thụ	tʰ u6
thứ	tʰ ɯ5
thừ	tʰ ɯ2
thử	tʰ ɯ4
thự	tʰ ɯ6
thua	tʰ uə1
thùa	tʰ uə2
thủa	tʰ uə4
thưa	tʰ ɯə1
thừa	tʰ ɯə2
thửa	tʰ ɯə4
thuấn	tʰw ʷɤ̆5 n
thuần	tʰw ʷɤ̆2 n
thuẫn	tʰw ʷɤ̆3 n
thuẩn	tʰw ʷɤ̆4 n
thuận	tʰw ʷɤ̆6 n
thuật	tʰw ʷɤ̆6 t
thúc	tʰ u5 k͡p
thục	tʰ u6 k͡p
thức	tʰ ɯ5 k
thực	tʰ ɯ6 k
thuê	tʰw ʷe1
thuế	tʰw ʷe5
thuể	tʰw ʷe4
thui	tʰ u1 j
thúi	tʰ u5 j
thùi	tʰ u2 j
thủi	tʰ u4 j
thụi	tʰ u6 j
thum	tʰ u1 m
thùm	tʰ u2 m
thủm	tʰ u4 m
thun	tʰ u1 n
thung	tʰ u1 ŋ͡m
thúng	tʰ u5 ŋ͡m
thùng	tʰ u2 ŋ͡m
thũng	tʰ u3 ŋ͡m
thủng	tʰ u4 ŋ͡m
thưng	tʰ ɯ1 ŋ
thụng	tʰ u6 ŋ͡m
thừng	tʰ ɯ2 ŋ
thững	tʰ ɯ3 ŋ
thuở	tʰ uə4
thuốc	tʰ uə5 k
thuộc	tʰ uə6 k
thước	tʰ ɯə5 k
thược	tʰ ɯə6 k
thưỡi	tʰ ɯə3 j
thuộm	tʰ uə6 m
thuôn	tʰ uə1 n
thuốn	tʰ uə5 n
thuồn	tʰ uə2 n
thuỗn	tʰ uə3 n
thườn	tʰ ɯə2 n
thưỡn	tʰ ɯə3 n
thuồng	tʰ uə2 ŋ
thuơng	tʰ uə1 ŋ
thuổng	tʰ uə4 ŋ
thương	tʰ ɯə1 ŋ
thường	tʰ ɯə2 ŋ
thưởng	tʰ ɯə4 ŋ
thượng	tʰ ɯə6 ŋ
thuột	tʰ uə6 t
thướt	tʰ ɯə5 t
thượt	tʰ ɯə6 t
thụp	tʰ u6 p
thút	tʰ u5 t
thụt	tʰ u6 t
thuý	tʰw ʷi5
thuỳ	tʰw ʷi2
thuỷ	tʰ u4 j
thuỵ	tʰw ʷi6
thúy	tʰ u5 j
thùy	tʰ u2 j
thủy	tʰ u4 j
thụy	tʰ u6 j
thuyên	tʰw ʷiə1 n
thuyền	tʰw ʷiə2 n
thuyết	tʰw ʷiə5 t
ti	t i1
tí	t i5
tì	t i2
tĩ	t i3
tỉ	t i4
tị	t i6
tia	t iə1
tía	t iə5
tỉa	t iə4
tích	t i5 tʃ
tịch	t i6 tʃ
tiếc	t iə5 k
tiệc	t iə6 k
tiêm	t iə1 m
tiếm	t iə5 m
tiềm	t iə2 m
tiệm	t iə6 m
tiên	t iə1 n
tiến	t iə5 n
tiền	t iə2 n
tiễn	t iə3 n
tiẻn	t i1 n
tiện	t iə6 n
tiêng	t iə1 ŋ
tiếng	t iə5 ŋ
tiếp	t iə5 p
tiệp	t iə6 p
tiết	t iə5 t
tiệt	t iə6 t
tiêu	t iə1 w
tiêù	t iə2 w
tiêú	t iə5 w
tiếu	t iə5 w
tiều	t iə2 w
tiễu	t iə3 w
tiểu	t iə4 w
tim	t i1 m
tím	t i5 m
tìm	t i2 m
tỉm	t i4 m
tin	t i1 n
tín	t i5 n
tinh	t i1 ɲ
tính	t i5 ɲ
tình	t i2 ɲ
tĩnh	t i3 ɲ
tỉnh	t i4 ɲ
tịnh	t i6 ɲ
típ	t i5 p
tít	t i5 t
tịt	t i6 t
tiu	t i1 w
tíu	t i5 w
tĩu	t i3 w
tịu	t i6 w
tivi	t i1 v i1
to	t ɔ1
tó	t ɔ5
tò	t ɔ2
tô	t o1
tố	t o5
tồ	t o2
tỏ	t ɔ4
tơ	t ɤ1
tổ	t o4
tớ	t ɤ5
tờ	t ɤ2
tộ	t o6
tợ	t ɤ6
toa	tw ʷa1
toà	tw ʷa2
toả	tw ʷa4
toạ	tw ʷa6
tòa	tw ʷa2
tỏa	tw ʷa4
tọa	tw ʷa6
toác	tw ʷa5 k
toạc	tw ʷa6 k
toái	tw a5 j
toài	tw a2 j
toại	tw a6 j
toan	tw ʷa1 n
toán	tw ʷa5 n
toàn	tw ʷa2 n
toản	tw ʷa4 n
toang	tw ʷa1 ŋ
toáng	tw ʷa5 ŋ
toàng	tw ʷa2 ŋ
toanh	tw ʷa1 ɲ
toát	tw ʷa5 t
toáy	tw ă5 j
tóc	t ɔ5 k͡p
tốc	t o5 k͡p
tọc	t ɔ6 k͡p
tộc	t o6 k͡p
toe	tw ʷɛ1
toé	tw ʷɛ5
toẽ	tw ʷɛ3
tóe	tw ʷɛ5
tòe	tw ʷɛ2
tỏe	tw ʷɛ4
toen	tw ʷɛ1 n
toèn	tw ʷɛ2 n
toét	tw ʷɛ5 t
toẹt	tw ʷɛ6 t
toi	t ɔ1 j
tói	t ɔ5 j
tòi	t ɔ2 j
tôi	t o1 j
tối	t o5 j
tồi	t o2 j
tỏi	t ɔ4 j
tơi	t ɤ1 j
tới	t ɤ5 j
tời	t ɤ2 j
tội	t o6 j
toilet	t ɔɪ5 l ə1 t
tom	t ɔ1 m
tóm	t ɔ5 m
tòm	t ɔ2 m
tôm	t o1 m
tõm	t ɔ3 m
tỏm	t ɔ4 m
tởm	t ɤ4 m
ton	t ɔ1 n
tòn	t ɔ2 n
tôn	t o1 n
tốn	t o5 n
tồn	t o2 n
tổn	t o4 n
tớn	t ɤ5 n
tợn	t ɤ6 n
tong	t ɔ1 ŋ͡m
tòng	t ɔ2 ŋ͡m
tông	t o1 ŋ͡m
tống	t o5 ŋ͡m
tồng	t o2 ŋ͡m
tỏng	t ɔ4 ŋ͡m
tổng	t o4 ŋ͡m
tọng	t ɔ6 ŋ͡m
toong	t o1 ŋ͡m
toòng	t ɔ2 ŋ͡m
top	t ɔ1 p
tóp	t ɔ5 p
tốp	t o5 p
tọp	t ɔ6 p
tớp	t ɤ5 p
tợp	t ɤ6 p
tót	t ɔ5 t
tốt	t o5 t
tọt	t ɔ6 t
tớt	t ɤ5 t
tột	t o6 t
tout	t aʊ5 t
tr	t r
tra	ʈ a1
trá	ʈ a5
trà	ʈ a2
trã	ʈ a3
trả	ʈ a4
trác	ʈ a5 k
trắc	ʈ ă5 k
trạc	ʈ a6 k
trặc	ʈ ă6 k
trách	ʈ a5 tʃ
trạch	ʈ a6 tʃ
trai	ʈ a1 j
trái	ʈ a5 j
trài	ʈ a2 j
trãi	ʈ a3 j
trải	ʈ a4 j
trại	ʈ a6 j
tram	ʈ a1 m
trám	ʈ a5 m
tràm	ʈ a2 m
trâm	ʈ ɤ̆1 m
trăm	ʈ ă1 m
trầm	ʈ ɤ̆2 m
trắm	ʈ ă5 m
trằm	ʈ ă2 m
trẫm	ʈ ɤ̆3 m
trảm	ʈ a4 m
trạm	ʈ a6 m
trậm	ʈ ɤ̆6 m
tran	ʈ a1 n
trán	ʈ a5 n
tràn	ʈ a2 n
trân	ʈ ɤ̆1 n
trăn	ʈ ă1 n
trấn	ʈ ɤ̆5 n
trần	ʈ ɤ̆2 n
trằn	ʈ ă2 n
trẩn	ʈ ɤ̆4 n
trận	ʈ ɤ̆6 n
trặn	ʈ ă6 n
trang	ʈ a1 ŋ
tráng	ʈ a5 ŋ
tràng	ʈ a2 ŋ
trâng	ʈ ɤ̆1 ŋ
trăng	ʈ ă1 ŋ
trắng	ʈ ă5 ŋ
trảng	ʈ a4 ŋ
trạng	ʈ a6 ŋ
tranh	ʈ ɛ1 ɲ
tránh	ʈ ɛ5 ɲ
trành	ʈ ɛ2 ɲ
trao	ʈ a1 w
tráo	ʈ a5 w
trào	ʈ a2 w
trảo	ʈ a4 w
trạo	ʈ a6 w
tráp	ʈ a5 p
trấp	ʈ ɤ̆5 p
trập	ʈ ɤ̆6 p
trát	ʈ a5 t
trắt	ʈ ă5 t
trật	ʈ ɤ̆6 t
trau	ʈ ă1 w
tràu	ʈ ă2 w
trâu	ʈ ɤ̆1 w
trấu	ʈ ɤ̆5 w
trầu	ʈ ɤ̆2 w
trảu	ʈ ă4 w
trẩu	ʈ ɤ̆4 w
trày	ʈ ă2 j
trây	ʈ ɤ̆1 j
trầy	ʈ ɤ̆2 j
trảy	ʈ ă4 j
trẩy	ʈ ɤ̆4 j
trạy	ʈ ă6 j
tre	ʈ ɛ1
trè	ʈ ɛ2
trê	ʈ e1
trẽ	ʈ ɛ3
trề	ʈ e2
trễ	ʈ e3
trẻ	ʈ ɛ4
trể	ʈ e4
trẹ	ʈ ɛ6
trệ	ʈ e6
trếch	ʈ e5 tʃ
trệch	ʈ e6 tʃ
trém	ʈ ɛ5 m
trèm	ʈ ɛ2 m
trèn	ʈ ɛ2 n
trên	ʈ e1 n
trẽn	ʈ ɛ3 n
treo	ʈ eo1
tréo	ʈ eo5
trèo	ʈ eo2
trẻo	ʈ eo4
trẹo	ʈ eo6
trét	ʈ ɛ5 t
trết	ʈ e5 t
trẹt	ʈ ɛ6 t
trệt	ʈ e6 t
trêu	ʈ ɛu1
trệu	ʈ ɛu6
tri	ʈ i1
trí	ʈ i5
trì	ʈ i2
trĩ	ʈ i3
trị	ʈ i6
trỉa	ʈ iə4
trịa	ʈ iə6
trích	ʈ i5 tʃ
trịch	ʈ i6 tʃ
triến	ʈ iə5 n
triền	ʈ iə2 n
triển	ʈ iə4 n
triện	ʈ iə6 n
triêng	ʈ iə1 ŋ
triềng	ʈ iə2 ŋ
triệng	ʈ iə6 ŋ
triết	ʈ iə5 t
triệt	ʈ iə6 t
triêu	ʈ iə1 w
triều	ʈ iə2 w
triệu	ʈ iə6 w
trinh	ʈ i1 ɲ
trình	ʈ i2 ɲ
trĩnh	ʈ i3 ɲ
trịnh	ʈ i6 ɲ
trít	ʈ i5 t
trịt	ʈ i6 t
trìu	ʈ i2 w
trĩu	ʈ i3 w
tro	ʈ ɔ1
trò	ʈ ɔ2
trô	ʈ o1
trố	ʈ o5
trồ	ʈ o2
trỗ	ʈ o3
trỏ	ʈ ɔ4
trơ	ʈ ɤ1
trổ	ʈ o4
trọ	ʈ ɔ6
trớ	ʈ ɤ5
trờ	ʈ ɤ2
trộ	ʈ o6
trở	ʈ ɤ4
trợ	ʈ ɤ6
tróc	ʈ ɔ5 k͡p
trốc	ʈ o5 k͡p
trọc	ʈ ɔ6 k͡p
trộc	ʈ o6 k͡p
troi	ʈ ɔ1 j
trói	ʈ ɔ5 j
tròi	ʈ ɔ2 j
trôi	ʈ o1 j
trối	ʈ o5 j
trồi	ʈ o2 j
trỗi	ʈ o3 j
trỏi	ʈ ɔ4 j
trơi	ʈ ɤ1 j
trổi	ʈ o4 j
trọi	ʈ ɔ6 j
trời	ʈ ɤ2 j
trội	ʈ o6 j
tróm	ʈ ɔ5 m
tròm	ʈ ɔ2 m
trôm	ʈ o1 m
trõm	ʈ ɔ3 m
trộm	ʈ o6 m
tron	ʈ ɔ1 n
tròn	ʈ ɔ2 n
trôn	ʈ o1 n
trõn	ʈ ɔ3 n
trốn	ʈ o5 n
trơn	ʈ ɤ1 n
trọn	ʈ ɔ6 n
trớn	ʈ ɤ5 n
trờn	ʈ ɤ2 n
trộn	ʈ o6 n
trợn	ʈ ɤ6 n
trong	ʈ ɔ1 ŋ͡m
tróng	ʈ ɔ5 ŋ͡m
tròng	ʈ ɔ2 ŋ͡m
trông	ʈ o1 ŋ͡m
trống	ʈ o5 ŋ͡m
trồng	ʈ o2 ŋ͡m
trỏng	ʈ ɔ4 ŋ͡m
trổng	ʈ o4 ŋ͡m
trọng	ʈ ɔ6 ŋ͡m
trớp	ʈ ɤ5 p
trót	ʈ ɔ5 t
trọt	ʈ ɔ6 t
trớt	ʈ ɤ5 t
trợt	ʈ ɤ6 t
tru	ʈ u1
trú	ʈ u5
trù	ʈ u2
trủ	ʈ u4
trư	ʈ ɯ1
trụ	ʈ u6
trứ	ʈ ɯ5
trừ	ʈ ɯ2
trữ	ʈ ɯ3
trự	ʈ ɯ6
trưa	ʈ ɯə1
trụa	ʈ uə6
trừa	ʈ ɯə2
truân	ʈw ʷɤ̆1 n
truất	ʈw ʷɤ̆5 t
truật	ʈw ʷɤ̆6 t
trúc	ʈ u5 k͡p
trục	ʈ u6 k͡p
trực	ʈ ɯ6 k
trui	ʈ u1 j
trùi	ʈ u2 j
trũi	ʈ u3 j
trụi	ʈ u6 j
trúm	ʈ u5 m
trùm	ʈ u2 m
trụm	ʈ u6 m
trun	ʈ u1 n
trùn	ʈ u2 n
trụn	ʈ u6 n
trung	ʈ u1 ŋ͡m
trúng	ʈ u5 ŋ͡m
trùng	ʈ u2 ŋ͡m
trũng	ʈ u3 ŋ͡m
trủng	ʈ u4 ŋ͡m
trưng	ʈ ɯ1 ŋ
trụng	ʈ u6 ŋ͡m
trứng	ʈ ɯ5 ŋ
trừng	ʈ ɯ2 ŋ
trửng	ʈ ɯ4 ŋ
trước	ʈ ɯə5 k
trườn	ʈ ɯə2 n
truông	ʈ uə1 ŋ
truồng	ʈ uə2 ŋ
trương	ʈ ɯə1 ŋ
trướng	ʈ ɯə5 ŋ
trường	ʈ ɯə2 ŋ
trưỡng	ʈ ɯə3 ŋ
trưởng	ʈ ɯə4 ŋ
trượng	ʈ ɯə6 ŋ
truột	ʈ uə6 t
trượt	ʈ ɯə6 t
trụp	ʈ u6 p
trút	ʈ u5 t
trụt	ʈ u6 t
trừu	ʈ ɯ2 w
truy	ʈw ʷi1
truỵ	ʈw ʷi6
trụy	ʈ u6 j
truyền	ʈw ʷiə2 n
truyện	ʈw ʷiə6 n
tu	t u1
tú	t u5
tù	t u2
tủ	t u4
tư	t ɯ1
tụ	t u6
tứ	t ɯ5
từ	t ɯ2
tử	t ɯ4
tự	t ɯ6
tua	t uə1
túa	t uə5
tùa	t uə2
tủa	t uə4
tưa	t ɯə1
tứa	t ɯə5
tửa	t ɯə4
tựa	t ɯə6
tuân	tw ʷɤ̆1 n
tuấn	tw ʷɤ̆5 n
tuần	tw ʷɤ̆2 n
tuất	tw ʷɤ̆5 t
túc	t u5 k͡p
tục	t u6 k͡p
tức	t ɯ5 k
tuế	tw ʷe5
tuệ	tw ʷe6
tuếch	tw ʷe5 tʃ
tuệch	tw ʷe6 tʃ
tui	t u1 j
túi	t u5 j
tủi	t u4 j
tụi	t u6 j
tum	t u1 m
túm	t u5 m
tùm	t u2 m
tũm	t u3 m
tủm	t u4 m
tụm	t u6 m
tun	t u1 n
tủn	t u4 n
tung	t u1 ŋ͡m
túng	t u5 ŋ͡m
tùng	t u2 ŋ͡m
tủng	t u4 ŋ͡m
tưng	t ɯ1 ŋ
tụng	t u6 ŋ͡m
từng	t ɯ2 ŋ
tửng	t ɯ4 ŋ
tuộc	t uə6 k
tước	t ɯə5 k
tược	t ɯə6 k
tuổi	t uə4 j
tươi	t ɯə1 j
tưới	t ɯə5 j
tưởi	t ɯə4 j
tươm	t ɯə1 m
tườm	t ɯə2 m
tuôn	t uə1 n
tuồn	t uə2 n
tướn	t ɯə5 n
tuông	t uə1 ŋ
tuồng	t uə2 ŋ
tương	t ɯə1 ŋ
tướng	t ɯə5 ŋ
tường	t ɯə2 ŋ
tưởng	t ɯə4 ŋ
tượng	t ɯə6 ŋ
tướp	t ɯə5 p
tượp	t ɯə6 p
tuốt	t uə5 t
tuột	t uə6 t
tướt	t ɯə5 t
tượt	t ɯə6 t
tườu	t ɯə2 w
túp	t u5 p
tút	t u5 t
tụt	t u6 t
tửu	t ɯ4 w
tựu	t ɯ6 w
tuy	tw ʷi1
tuý	tw ʷi5
tuỳ	t u2 j
tuỷ	tw ʷi4
tuỵ	tw ʷi6
túy	t u5 j
tùy	t u2 j
tủy	t u4 j
tụy	t u6 j
tuyên	tw ʷiə1 n
tuyến	tw ʷiə5 n
tuyền	tw ʷiə2 n
tuyển	tw ʷiə4 n
tuyết	tw ʷiə5 t
tuyệt	tw ʷiə6 t
tuyn	tw ʷi1 n
tuýp	tw ʷi5 p
tuýt	tw ʷi5 t
ty	t i1
tý	t i5
tỳ	t i2
tỷ	t i4
tỵ	t i6
u	u1
ú	u5
ù	u2
ủ	u4
ư	ɯ1
ụ	u6
ứ	ɯ5
ừ	ɯ2
úa	uə5
ùa	uə2
ủa	uə4
ưa	ɯə1
ụa	uə6
ứa	ɯə5
ựa	ɯə6
uẩn	w ʷɤ̆4 n
uất	w ʷɤ̆5 t
uẩy	w ɤ̆4 j
úc	u5 k͡p
ục	u6 k͡p
ức	ɯ5 k
ực	ɯ6 k
uế	w ʷe5
uể	w ʷe4
úi	u5 j
ủi	u4 j
um	u1 m
úm	u5 m
ùm	u2 m
un	u1 n
ùn	u2 n
ủn	u4 n
ung	u1 ŋ͡m
úng	u5 ŋ͡m
ùng	u2 ŋ͡m
ủng	u4 ŋ͡m
ưng	ɯ1 ŋ
ứng	ɯ5 ŋ
ừng	ɯ2 ŋ
ửng	ɯ4 ŋ
ước	ɯə5 k
ươi	ɯə1 j
uôm	uə1 m
ươm	ɯə1 m
ướm	ɯə5 m
uốn	uə5 n
ươn	ɯə1 n
ườn	ɯə2 n
ưỡn	ɯə3 n
uống	uə5 ŋ
uổng	uə4 ŋ
ương	ɯə1 ŋ
ướp	ɯə5 p
uột	uə6 t
ướt	ɯə5 t
úp	u5 p
ụp	u6 p
út	u5 t
ụt	u6 t
ưu	ɯ1 w
uy	w ʷi1
uý	w ʷi5
uỷ	w ʷi4
úy	u5 j
ủy	u4 j
uỵch	w ʷi6 tʃ
uyên	w ʷiə1 n
uyển	w ʷiə4 n
uỳnh	w ʷi2 ɲ
v	v i5
va	v a1
vá	v a5
và	v a2
vã	v a3
vả	v a4
vạ	v a6
vác	v a5 k
vắc	v ă5 k
vạc	v a6 k
vặc	v ă6 k
vách	v a5 tʃ
vạch	v a6 tʃ
vai	v a1 j
vái	v a5 j
vài	v a2 j
vãi	v a3 j
vải	v a4 j
vại	v a6 j
vali	v a1 l i1
vàm	v a2 m
vâm	v ɤ̆1 m
vằm	v ă2 m
vạm	v a6 m
vậm	v ɤ̆6 m
van	v a1 n
ván	v a5 n
vàn	v a2 n
vân	v ɤ̆1 n
văn	v ă1 n
vãn	v a3 n
vấn	v ɤ̆5 n
vần	v ɤ̆2 n
vắn	v ă5 n
vằn	v ă2 n
vẫn	v ɤ̆3 n
vẩn	v ɤ̆4 n
vạn	v a6 n
vận	v ɤ̆6 n
vặn	v ă6 n
vang	v a1 ŋ
váng	v a5 ŋ
vàng	v a2 ŋ
vâng	v ɤ̆1 ŋ
văng	v ă1 ŋ
vãng	v a3 ŋ
vầng	v ɤ̆2 ŋ
vắng	v ă5 ŋ
vằng	v ă2 ŋ
vảng	v a4 ŋ
vẳng	v ă4 ŋ
vạng	v a6 ŋ
vanh	v ɛ1 ɲ
vánh	v ɛ5 ɲ
vành	v ɛ2 ɲ
vãnh	v ɛ3 ɲ
vạnh	v ɛ6 ɲ
vao	v a1 w
váo	v a5 w
vào	v a2 w
váp	v a5 p
vấp	v ɤ̆5 p
vạp	v a6 p
vập	v ɤ̆6 p
vát	v a5 t
vất	v ɤ̆5 t
vắt	v ă5 t
vạt	v a6 t
vật	v ɤ̆6 t
vặt	v ă6 t
vấu	v ɤ̆5 w
vầu	v ɤ̆2 w
vẩu	v ɤ̆4 w
vay	v ă1 j
váy	v ă5 j
vày	v ă2 j
vây	v ɤ̆1 j
vấy	v ɤ̆5 j
vầy	v ɤ̆2 j
vẫy	v ɤ̆3 j
vảy	v ă4 j
vẩy	v ɤ̆4 j
vạy	v ă6 j
vậy	v ɤ̆6 j
ve	v ɛ1
vé	v ɛ5
vè	v ɛ2
vê	v e1
vẽ	v ɛ3
vế	v e5
về	v e2
vẻ	v ɛ4
vệ	v e6
véc	v ɛ5 k
vếch	v e5 tʃ
vẹm	v ɛ6 m
ven	v ɛ1 n
vén	v ɛ5 n
vên	v e1 n
vền	v e2 n
vẻn	v ɛ4 n
vẹn	v ɛ6 n
vện	v e6 n
vênh	v e1 ɲ
vểnh	v e4 ɲ
veo	v eo1
véo	v eo5
vèo	v eo2
vẻo	v eo4
vẹo	v eo6
vét	v ɛ5 t
vết	v e5 t
vẹt	v ɛ6 t
vệt	v e6 t
vêu	v ɛu1
vếu	v ɛu5
vều	v ɛu2
vi	v i1
ví	v i5
vì	v i2
vĩ	v i3
